Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index
1,United States,Northern America,442904,401765,24047476,9957546,54.3,3213
2,United Kingdom,Western Europe,121733,103092,5924458,1169565,48.67,2048
3,Japan,Asiatic Region,113647,110572,3430047,776145,30.18,1364
4,Germany,Western Europe,104310,98998,4345460,902243,41.66,1797
5,China,Asiatic Region,81936,81037,1608735,797568,19.63,1455
6,France,Western Europe,73068,69471,3008822,542747,41.18,1604
7,Canada,Northern America,56784,52015,2911229,437676,51.27,1659
8,Italy,Western Europe,55629,52525,2141371,421907,38.49,1416
9,Spain,Western Europe,39420,37022,1478985,289172,37.52,1303
10,Australia,Pacific Region,38207,34206,1780539,313103,46.6,1475
11,Russian Federation,Eastern Europe,37592,37151,553501,153052,14.72,806
12,India,Asiatic Region,33390,31679,863383,282220,25.86,925
13,Netherlands,Western Europe,30832,28540,1854571,222800,60.15,1471
14,South Korea,Asiatic Region,28464,27979,842824,133498,29.61,1004
15,Sweden,Western Europe,22210,20950,1268869,139591,57.13,1232
16,Switzerland,Western Europe,22060,20680,1308674,131894,59.32,1369
17,Brazil,Latin America,21518,21003,610780,181291,28.38,844
18,Poland,Eastern Europe,20252,19863,423006,89254,20.89,792
19,Taiwan,Asiatic Region,18710,18203,555368,87446,29.68,738
20,Belgium,Western Europe,17008,16060,848815,84766,49.91,1134
21,Turkey,Middle East,15939,15167,400568,81659,25.13,647
22,Israel,Middle East,14366,13467,690691,74717,48.08,962
23,Austria,Western Europe,12293,11527,544470,54960,44.29,937
24,Denmark,Western Europe,11699,11038,700671,77586,59.89,1081
25,Finland,Western Europe,11466,10938,581500,65400,50.72,897
26,Hong Kong,Asiatic Region,10761,10055,477661,48814,44.39,863
27,Greece,Western Europe,9314,8848,333622,42754,35.82,725
28,Mexico,Latin America,9157,8881,246825,46969,26.95,641
29,Czech Republic,Eastern Europe,8744,8547,208187,37745,23.81,667
30,Singapore,Asiatic Region,8469,7990,331157,28177,39.1,873
31,Norway,Western Europe,8222,7632,428688,50275,52.14,896
32,New Zealand,Pacific Region,7308,6575,337720,36529,46.21,758
33,Ukraine,Eastern Europe,7177,7114,79388,18511,11.06,382
34,Hungary,Eastern Europe,6735,6529,229048,26724,34.01,630
35,South Africa,Africa,6653,6122,208696,40633,31.37,702
36,Portugal,Western Europe,6616,6391,238791,35565,36.09,739
37,Argentina,Latin America,6340,6125,209280,37900,33.01,611
38,Ireland,Western Europe,5212,4622,215073,17538,41.26,753
39,Iran,Middle East,4611,4518,116325,35685,25.23,541
40,Egypt,Africa/Middle East,4548,4475,103358,18923,22.73,452
41,Romania,Eastern Europe,3804,3748,61609,10943,16.2,454
42,Thailand,Asiatic Region,3476,3343,124337,15081,35.77,485
43,Chile,Latin America,3295,3173,135265,21504,41.05,555
44,Croatia,Eastern Europe,3179,3107,52816,8829,16.61,413
45,Slovenia,Eastern Europe,3102,3021,88121,10127,28.41,439
46,Slovakia,Eastern Europe,3097,3021,58975,9090,19.04,381
47,Bulgaria,Eastern Europe,2522,2483,51090,6100,20.26,373
48,Malaysia,Asiatic Region,2515,2383,61075,10773,24.28,559
49,Saudi Arabia,Middle East,2440,2326,56138,6724,23.01,618
50,Pakistan,Asiatic Region,1895,1778,39063,8024,20.61,481
51,Nigeria,Africa,1727,1662,38263,7629,22.16,340
52,Belarus,Eastern Europe,1694,1684,18899,3181,11.16,243
53,Venezuela,Latin America,1678,1631,48982,3623,29.19,293
54,Morocco,Africa,1394,1338,29436,5358,21.12,286
55,Tunisia,Africa,1388,1347,25852,5072,18.63,292
56,Lithuania,Eastern Europe,1288,1265,23077,3542,17.92,319
57,Serbia,Eastern Europe,1230,1198,21832,3118,17.75,384
58,Colombia,Latin America,1190,1151,35471,4720,29.81,436
59,Cuba,Latin America,1169,1142,20703,3210,17.71,235
60,Algeria,Africa,915,905,16706,3459,18.26,263
61,United Arab Emirates,Middle East,909,863,21571,1803,23.73,371
62,Indonesia,Asiatic Region,885,814,27265,3289,30.81,349
63,Kenya,Africa,877,829,39532,5417,45.08,371
64,Jordan,Middle East,870,863,22719,2165,26.11,281
65,Estonia,Eastern Europe,847,825,28737,4558,33.93,412
66,Bangladesh,Asiatic Region,794,765,24647,3966,31.04,343
67,Philippines,Asiatic Region,742,673,28099,2231,37.87,351
68,Kuwait,Middle East,735,721,18361,1579,24.98,240
69,Lebanon,Middle East,701,644,21074,1604,30.06,322
70,Viet Nam,Asiatic Region,670,639,24602,2642,36.72,350
71,Puerto Rico,Latin America,642,621,19786,1180,30.82,294
72,Armenia,Eastern Europe,536,525,10871,1983,20.28,244
73,Iceland,Western Europe,518,493,34161,2583,65.95,415
74,Peru,Latin America,486,470,23459,2352,48.27,340
75,Uruguay,Latin America,479,463,17146,2056,35.8,256
76,Georgia,Eastern Europe,457,412,7497,1002,16.4,268
77,Oman,Middle East,445,431,10820,835,24.31,243
78,Latvia,Eastern Europe,441,433,9665,996,21.92,243
79,Sri Lanka,Asiatic Region,435,400,18186,1418,41.81,277
80,Uzbekistan,Asiatic Region,431,425,5609,847,13.01,144
81,Tanzania,Africa,382,362,17092,1987,44.74,245
82,Cameroon,Africa,369,360,10756,2343,29.15,200
83,Azerbaijan,Eastern Europe,365,362,3296,921,9.03,167
84,Kazakhstan,Asiatic Region,365,358,4983,740,13.65,183
85,Nepal,Asiatic Region,364,339,10989,1101,30.19,224
